Home_Team,Away_Team,Home_Score,Away_Score,Home_xG,Away_xG,League
Mantova,Brescia,1,1,2.0,0.5,Serie B
Catanzaro,Modena,2,2,0.4,0.7,Serie B
Cosenza,Südtirol,0,2,1.5,0.4,Serie B
Cremonese,Bari,1,1,1.3,0.8,Serie B
Palermo,Salernitana,0,1,1.6,0.4,Serie B
Bari,Catanzaro,1,1,1.9,0.8,Serie B
Salernitana,Spezia,0,2,0.8,1.3,Serie B
Modena,Palermo,2,2,1.8,1.6,Serie B
Cittadella,Cosenza,0,0,2.1,0.3,Serie B
Südtirol,Pisa,1,2,0.7,1.8,Serie B
Brescia,Sassuolo,2,5,1.8,2.2,Serie B
Reggiana,Frosinone,2,0,1.4,1.1,Serie B
Juve Stabia,Cremonese,1,2,1.2,1.0,Serie B
Carrarese,Mantova,1,1,1.8,1.2,Serie B
Cesena,Sampdoria,3,5,0.8,2.1,Serie B
Spezia,Bari,0,0,1.3,0.1,Serie B
Cosenza,Juve Stabia,1,1,1.0,1.6,Serie B
Palermo,Reggiana,2,0,2.1,0.9,Serie B
Cesena,Brescia,2,0,2.7,0.9,Serie B
Cremonese,Salernitana,2,1,1.2,0.5,Serie B
Carrarese,Cittadella,3,0,0.5,1.6,Serie B
Sassuolo,Modena,2,0,1.5,0.8,Serie B
Sampdoria,Mantova,1,0,1.6,0.8,Serie B
Frosinone,Pisa,0,0,0.6,1.1,Serie B
Catanzaro,Südtirol,3,0,1.4,0.9,Serie B
Salernitana,Cesena,1,1,0.7,0.3,Serie B
Reggiana,Cosenza,0,1,0.9,0.7,Serie B
Bari,Carrarese,0,0,1.4,0.8,Serie B
Modena,Cremonese,2,2,1.2,1.3,Serie B
Brescia,Spezia,1,1,0.6,1.2,Serie B
Juve Stabia,Sassuolo,2,2,1.3,0.7,Serie B
Südtirol,Frosinone,1,1,1.1,0.4,Serie B
Pisa,Catanzaro,0,0,1.9,0.1,Serie B
Mantova,Palermo,0,0,0.3,0.9,Serie B
Cittadella,Sampdoria,0,0,0.4,0.3,Serie B
Carrarese,Juve Stabia,0,0,0.4,0.5,Serie B
Bari,Reggiana,2,2,1.5,1.8,Serie B
Spezia,Modena,1,0,1.1,0.5,Serie B
Cesena,Südtirol,1,0,0.6,0.2,Serie B
Palermo,Cittadella,0,1,2.3,0.7,Serie B
Cremonese,Pisa,1,3,0.6,2.2,Serie B
Cosenza,Salernitana,1,1,0.7,1.2,Serie B
Catanzaro,Frosinone,0,0,0.7,0.8,Serie B
Sampdoria,Brescia,0,1,0.8,1.2,Serie B
Sassuolo,Mantova,1,0,2.2,0.5,Serie B
Frosinone,Palermo,1,1,0.5,0.7,Serie B
Pisa,Sampdoria,3,0,1.1,0.8,Serie B
Brescia,Cosenza,2,3,1.3,2.1,Serie B
Südtirol,Sassuolo,0,1,1.0,1.1,Serie B
Modena,Carrarese,2,0,1.2,0.2,Serie B
Mantova,Cremonese,1,0,0.9,1.0,Serie B
Reggiana,Catanzaro,2,2,1.1,1.4,Serie B
Cittadella,Cesena,0,2,0.3,2.5,Serie B
Juve Stabia,Spezia,0,3,0.8,1.8,Serie B
Salernitana,Bari,0,2,1.5,1.8,Serie B
Cosenza,Modena,1,1,1.4,2.0,Serie B
Carrarese,Pisa,1,0,1.2,0.3,Serie B
Catanzaro,Mantova,2,2,0.7,1.7,Serie B
Juve Stabia,Brescia,0,0,0.6,0.8,Serie B
Sassuolo,Salernitana,4,0,3.9,0.4,Serie B
Cesena,Reggiana,1,1,1.1,0.8,Serie B
Spezia,Südtirol,3,0,1.8,0.4,Serie B
Bari,Cittadella,3,2,1.9,0.9,Serie B
Cremonese,Frosinone,1,0,3.0,0.7,Serie B
Palermo,Sampdoria,1,1,1.6,0.6,Serie B
Reggiana,Sassuolo,0,2,1.7,0.6,Serie B
Sampdoria,Catanzaro,3,3,3.7,1.1,Serie B
Südtirol,Cremonese,0,4,0.9,2.1,Serie B
Cittadella,Juve Stabia,2,2,1.6,0.4,Serie B
Brescia,Bari,1,1,1.5,1.4,Serie B
Mantova,Modena,0,0,1.1,0.6,Serie B
Frosinone,Cesena,3,2,1.3,1.6,Serie B
Pisa,Cosenza,2,2,3.3,1.2,Serie B
Palermo,Spezia,2,0,2.4,1.1,Serie B
Salernitana,Carrarese,4,1,3.4,1.8,Serie B
Juve Stabia,Südtirol,2,1,1.7,0.5,Serie B
Carrarese,Palermo,1,0,1.9,1.2,Serie B
Mantova,Pisa,2,3,0.9,1.8,Serie B
Modena,Salernitana,1,1,0.7,1.0,Serie B
Bari,Cesena,1,0,0.8,1.0,Serie B
Cosenza,Frosinone,0,1,1.0,1.5,Serie B
Cremonese,Reggiana,0,2,0.7,0.9,Serie B
Spezia,Cittadella,5,0,3.1,0.6,Serie B
Catanzaro,Brescia,2,1,2.2,1.2,Serie B
Sassuolo,Sampdoria,5,1,1.9,1.3,Serie B
Pisa,Bari,2,0,2.9,0.8,Serie B
Frosinone,Sassuolo,1,2,0.6,1.3,Serie B
Südtirol,Mantova,2,2,1.7,2.1,Serie B
Reggiana,Modena,0,1,0.9,0.9,Serie B
Cesena,Cosenza,2,1,2.0,1.3,Serie B
Sampdoria,Spezia,0,0,0.5,1.9,Serie B
Cittadella,Cremonese,0,0,0.5,0.5,Serie B
Brescia,Carrarese,0,0,0.2,1.0,Serie B
Palermo,Catanzaro,1,2,2.1,0.9,Serie B
Salernitana,Juve Stabia,1,2,0.8,1.7,Serie B
Salernitana,Brescia,0,0,0.7,1.1,Serie B
Sassuolo,Palermo,2,1,2.0,1.0,Serie B
Mantova,Frosinone,3,1,1.6,0.9,Serie B
Bari,Südtirol,0,1,0.5,2.3,Serie B
Carrarese,Cosenza,1,0,1.5,0.5,Serie B
Catanzaro,Spezia,0,1,1.4,0.7,Serie B
Cittadella,Reggiana,3,1,0.4,1.0,Serie B
Modena,Pisa,1,0,0.7,1.1,Serie B
Juve Stabia,Cesena,1,0,1.4,0.1,Serie B
Cremonese,Sampdoria,1,1,2.4,0.8,Serie B
Pisa,Sassuolo,3,1,1.6,2.4,Serie B
Südtirol,Cittadella,1,2,0.7,1.1,Serie B
Reggiana,Juve Stabia,2,1,1.2,1.0,Serie B
Brescia,Modena,3,3,1.4,1.3,Serie B
Cosenza,Catanzaro,1,1,2.4,1.1,Serie B
Frosinone,Salernitana,2,0,1.5,0.2,Serie B
Cesena,Cremonese,0,1,1.1,0.8,Serie B
Spezia,Mantova,1,1,2.6,0.3,Serie B
Palermo,Bari,1,0,2.3,1.1,Serie B
Sampdoria,Carrarese,1,1,2.5,0.3,Serie B
Cremonese,Brescia,1,1,1.1,0.5,Serie B
Carrarese,Cesena,2,0,2.5,0.4,Serie B
Modena,Südtirol,0,0,0.4,1.0,Serie B
Mantova,Reggiana,0,2,0.2,1.6,Serie B
Sassuolo,Cosenza,2,1,1.3,1.2,Serie B
Bari,Spezia,2,0,1.6,1.2,Serie B
Catanzaro,Salernitana,1,0,1.0,0.7,Serie B
Cittadella,Palermo,2,1,0.7,1.9,Serie B
Juve Stabia,Frosinone,1,1,1.4,1.1,Serie B
Sampdoria,Pisa,0,1,1.1,1.0,Serie B
Salernitana,Sassuolo,1,2,1.6,1.5,Serie B
Cosenza,Mantova,2,2,1.3,0.7,Serie B
Frosinone,Cremonese,0,3,1.6,1.5,Serie B
Reggiana,Bari,0,0,0.4,0.7,Serie B
Palermo,Modena,2,0,2.0,1.0,Serie B
Südtirol,Catanzaro,1,1,1.4,2.3,Serie B
Spezia,Juve Stabia,1,1,1.9,0.3,Serie B
Cesena,Cittadella,0,0,1.1,0.7,Serie B
Brescia,Sampdoria,1,1,2.1,0.5,Serie B
Pisa,Carrarese,2,1,2.8,0.9,Serie B
Sampdoria,Cesena,1,2,0.8,1.5,Serie B
Salernitana,Reggiana,2,1,2.0,1.1,Serie B
Cremonese,Cosenza,3,1,2.5,0.5,Serie B
Modena,Frosinone,1,1,0.9,0.6,Serie B
Cittadella,Mantova,1,2,1.0,1.8,Serie B
Bari,Brescia,2,2,2.7,0.9,Serie B
Palermo,Juve Stabia,1,0,1.2,1.2,Serie B
Catanzaro,Pisa,0,0,1.5,0.5,Serie B
Sassuolo,Südtirol,5,3,1.8,1.0,Serie B
Carrarese,Spezia,0,4,0.5,1.7,Serie B
Spezia,Sassuolo,2,1,2.6,0.7,Serie B
Frosinone,Südtirol,0,3,0.9,1.6,Serie B
Cosenza,Cittadella,0,1,1.7,0.4,Serie B
Cesena,Bari,1,1,1.2,0.9,Serie B
Juve Stabia,Carrarese,2,1,0.7,0.8,Serie B
Mantova,Sampdoria,2,2,1.1,1.7,Serie B
Reggiana,Palermo,2,1,0.4,0.9,Serie B
Brescia,Catanzaro,2,3,1.9,1.9,Serie B
Pisa,Salernitana,1,0,1.7,0.4,Serie B
Cremonese,Modena,2,2,1.8,2.2,Serie B
Palermo,Pisa,1,2,1.1,1.1,Serie B
Cittadella,Spezia,0,2,0.9,2.0,Serie B
Catanzaro,Cesena,4,2,1.4,1.3,Serie B
Sassuolo,Juve Stabia,2,0,0.8,0.4,Serie B
Sampdoria,Cosenza,1,0,0.8,1.3,Serie B
Modena,Mantova,3,1,1.7,1.5,Serie B
Salernitana,Cremonese,1,0,2.1,1.8,Serie B
Carrarese,Brescia,1,2,1.4,1.4,Serie B
Südtirol,Reggiana,2,0,0.8,1.4,Serie B
Bari,Frosinone,2,1,1.6,1.5,Serie B
Brescia,Salernitana,0,0,0.8,0.3,Serie B
Mantova,Sassuolo,0,3,0.4,1.4,Serie B
Frosinone,Catanzaro,1,1,1.6,0.7,Serie B
Pisa,Cittadella,0,1,0.7,0.2,Serie B
Cosenza,Carrarese,1,0,0.2,0.5,Serie B
Sampdoria,Modena,1,0,2.0,0.6,Serie B
Reggiana,Cesena,0,1,0.5,0.5,Serie B
Spezia,Palermo,2,2,3.1,0.5,Serie B
Cremonese,Südtirol,3,1,1.8,0.3,Serie B
Juve Stabia,Bari,3,1,2.4,1.6,Serie B
Catanzaro,Cittadella,1,0,1.4,0.5,Serie B
Carrarese,Salernitana,3,2,2.0,1.2,Serie B
Modena,Spezia,1,1,0.7,1.8,Serie B
Sassuolo,Brescia,2,0,0.7,1.7,Serie B
Südtirol,Sampdoria,2,1,2.0,1.0,Serie B
Bari,Cremonese,1,1,0.6,2.0,Serie B
Juve Stabia,Cosenza,3,0,0.9,1.9,Serie B
Palermo,Mantova,2,2,1.8,0.9,Serie B
Frosinone,Reggiana,1,1,0.8,0.7,Serie B
Cesena,Pisa,1,1,0.8,1.5,Serie B
Sampdoria,Sassuolo,0,0,0.1,0.5,Serie B
Mantova,Bari,0,1,0.4,0.7,Serie B
Reggiana,Carrarese,2,2,1.4,1.4,Serie B
Pisa,Juve Stabia,3,1,1.6,0.9,Serie B
Cittadella,Modena,0,2,0.9,1.4,Serie B
Cremonese,Cesena,1,2,1.1,0.6,Serie B
Spezia,Catanzaro,0,1,2.6,0.9,Serie B
Cosenza,Palermo,0,3,2.4,2.1,Serie B
Brescia,Südtirol,0,0,1.3,0.7,Serie B
Salernitana,Frosinone,1,1,2.1,0.6,Serie B
Südtirol,Spezia,1,1,1.3,2.4,Serie B
Cesena,Salernitana,2,0,1.1,1.7,Serie B
Frosinone,Mantova,2,1,1.6,1.8,Serie B
Carrarese,Cremonese,2,2,1.2,1.8,Serie B
Juve Stabia,Cittadella,0,1,1.1,0.8,Serie B
Sassuolo,Pisa,1,0,0.9,1.0,Serie B
Modena,Cosenza,1,1,0.9,0.6,Serie B
Catanzaro,Reggiana,1,1,1.6,1.4,Serie B
Palermo,Brescia,1,0,2.4,0.6,Serie B
Bari,Sampdoria,1,1,0.9,2.0,Serie B
Cosenza,Reggiana,1,0,0.4,1.0,Serie B
Salernitana,Modena,1,0,1.0,0.9,Serie B
Cremonese,Catanzaro,4,0,3.8,0.4,Serie B
Carrarese,Frosinone,0,1,2.0,0.6,Serie B
Mantova,Juve Stabia,1,1,0.5,0.6,Serie B
Sampdoria,Palermo,1,1,1.2,1.4,Serie B
Brescia,Cesena,1,1,0.7,1.2,Serie B
Sassuolo,Bari,1,1,0.5,0.5,Serie B
Spezia,Pisa,3,2,1.5,0.8,Serie B
Cittadella,Südtirol,1,5,1.1,2.1,Serie B
Palermo,Cremonese,2,3,1.3,3.0,Serie B
Cesena,Spezia,0,0,1.2,2.3,Serie B
Cittadella,Sassuolo,1,2,0.8,2.2,Serie B
Frosinone,Brescia,2,1,0.6,1.3,Serie B
Juve Stabia,Modena,2,1,1.7,1.2,Serie B
Bari,Salernitana,0,0,0.7,0.7,Serie B
Pisa,Mantova,3,1,1.7,1.0,Serie B
Reggiana,Sampdoria,2,2,2.5,1.7,Serie B
Südtirol,Carrarese,2,2,0.9,1.0,Serie B
Catanzaro,Cosenza,4,0,1.3,0.5,Serie B
Spezia,Brescia,0,1,1.8,1.6,Serie B
Cosenza,Pisa,0,3,0.0,1.7,Serie B
Modena,Catanzaro,2,1,0.7,1.2,Serie B
Sampdoria,Frosinone,0,3,1.5,2.0,Serie B
Mantova,Südtirol,2,0,0.8,1.5,Serie B
Cremonese,Cittadella,2,2,2.6,0.9,Serie B
Sassuolo,Reggiana,5,1,2.2,0.6,Serie B
Carrarese,Bari,2,1,0.7,1.1,Serie B
Cesena,Juve Stabia,1,2,1.4,0.8,Serie B
Salernitana,Palermo,1,2,1.4,1.6,Serie B
Blackburn,Derby County,4,2,2.1,1.1,Championship
Preston,Sheffield Utd,0,2,0.6,1.0,Championship
Millwall,Watford,2,3,2.0,1.1,Championship
Cardiff City,Sunderland,0,2,1.0,1.8,Championship
QPR,West Brom,1,3,0.8,1.5,Championship
Middlesbrough,Swansea City,1,0,2.8,0.5,Championship
Hull City,Bristol City,1,1,1.7,1.2,Championship
Oxford United,Norwich City,2,0,0.9,0.8,Championship
Leeds United,Portsmouth,3,3,3.3,0.9,Championship
Stoke City,Coventry City,1,0,0.9,0.7,Championship
Sheffield Weds,Plymouth Argyle,4,0,4.4,0.2,Championship
Luton Town,Burnley,1,4,1.4,1.5,Championship
Coventry City,Oxford United,3,2,2.9,0.9,Championship
Portsmouth,Luton Town,0,0,0.9,0.9,Championship
West Brom,Leeds United,0,0,0.7,0.7,Championship
Derby County,Middlesbrough,1,0,1.0,1.6,Championship
Bristol City,Millwall,4,3,2.7,2.1,Championship
Swansea City,Preston,3,0,2.3,0.8,Championship
Burnley,Cardiff City,5,0,0.8,0.6,Championship
Plymouth Argyle,Hull City,1,1,0.7,0.8,Championship
Norwich City,Blackburn,2,2,2.1,0.8,Championship
Sheffield Utd,QPR,2,2,1.6,0.7,Championship
Watford,Stoke City,3,0,2.2,0.8,Championship
Sunderland,Sheffield Weds,4,0,1.6,0.4,Championship
Sheffield Weds,Leeds United,0,2,0.4,1.2,Championship
QPR,Plymouth Argyle,1,1,2.4,0.1,Championship
Hull City,Millwall,0,0,0.8,0.8,Championship
Bristol City,Coventry City,1,1,0.7,0.6,Championship
Sunderland,Burnley,1,0,0.7,0.1,Championship
Preston,Luton Town,1,0,0.3,1.6,Championship
Watford,Derby County,2,1,1.1,0.7,Championship
Blackburn,Oxford United,2,1,0.8,0.9,Championship
Stoke City,West Brom,1,2,1.8,1.5,Championship
Middlesbrough,Portsmouth,2,2,2.7,1.0,Championship
Norwich City,Sheffield Utd,1,1,1.0,0.8,Championship
Swansea City,Cardiff City,1,1,1.3,0.8,Championship
Luton Town,QPR,1,2,1.4,0.9,Championship
Cardiff City,Middlesbrough,0,2,0.5,0.8,Championship
Burnley,Blackburn,1,1,0.8,0.3,Championship
Coventry City,Norwich City,0,1,1.1,0.4,Championship
Portsmouth,Sunderland,1,3,0.4,2.0,Championship
Derby County,Bristol City,3,0,1.6,1.2,Championship
Leeds United,Hull City,2,0,1.5,0.5,Championship
Oxford United,Preston,3,1,1.8,1.0,Championship
West Brom,Swansea City,1,0,2.3,0.5,Championship
Millwall,Sheffield Weds,3,0,3.0,0.1,Championship
Plymouth Argyle,Stoke City,0,1,0.8,1.5,Championship
Sheffield Utd,Watford,1,0,2.2,0.8,Championship
Hull City,Sheffield Utd,0,2,1.4,0.7,Championship
Oxford United,Stoke City,1,0,1.1,0.5,Championship
Leeds United,Burnley,0,1,1.2,0.6,Championship
Millwall,Luton Town,0,1,1.0,0.6,Championship
Swansea City,Norwich City,1,0,0.7,1.1,Championship
Derby County,Cardiff City,1,0,1.5,0.3,Championship
Sheffield Weds,QPR,1,1,0.7,1.2,Championship
Blackburn,Bristol City,3,0,1.0,0.7,Championship
Watford,Coventry City,1,1,2.0,2.6,Championship
Plymouth Argyle,Sunderland,3,2,1.7,1.7,Championship
Middlesbrough,Preston,1,1,1.6,0.4,Championship
Portsmouth,West Brom,0,3,0.7,2.1,Championship
Stoke City,Hull City,1,3,1.0,1.9,Championship
QPR,Millwall,1,1,0.8,1.9,Championship
Norwich City,Watford,4,1,2.7,1.7,Championship
Sunderland,Middlesbrough,1,0,1.1,1.3,Championship
West Brom,Plymouth Argyle,1,0,2.6,0.8,Championship
Luton Town,Sheffield Weds,2,1,2.0,0.8,Championship
Bristol City,Oxford United,2,1,2.3,1.7,Championship
Sheffield Utd,Derby County,1,0,1.1,0.0,Championship
Burnley,Portsmouth,2,1,1.0,1.4,Championship
Coventry City,Swansea City,1,2,1.6,0.7,Championship
Cardiff City,Leeds United,0,2,0.1,2.9,Championship
Preston,Blackburn,0,0,0.3,0.8,Championship
Plymouth Argyle,Luton Town,3,1,1.6,1.7,Championship
Blackburn,QPR,2,0,2.2,0.5,Championship
Derby County,Norwich City,2,3,1.4,1.9,Championship
Sheffield Weds,West Brom,3,2,1.2,1.0,Championship
Leeds United,Coventry City,3,0,1.7,0.4,Championship
Watford,Sunderland,2,1,1.9,1.0,Championship
Millwall,Preston,3,1,2.6,1.1,Championship
Middlesbrough,Stoke City,2,0,2.4,0.7,Championship
Oxford United,Burnley,0,0,0.1,1.5,Championship
Portsmouth,Sheffield Utd,0,0,0.5,0.5,Championship
Hull City,Cardiff City,4,1,2.3,1.7,Championship
Swansea City,Bristol City,1,1,0.9,2.0,Championship
Burnley,Plymouth Argyle,1,0,1.4,0.6,Championship
QPR,Hull City,1,3,2.3,1.7,Championship
Sunderland,Derby County,2,0,1.0,0.9,Championship
Luton Town,Oxford United,2,2,1.3,1.7,Championship
Coventry City,Blackburn,3,0,1.2,0.5,Championship
Cardiff City,Millwall,1,0,0.8,1.3,Championship
Norwich City,Leeds United,1,1,1.4,0.9,Championship
West Brom,Middlesbrough,0,1,1.4,1.3,Championship
Stoke City,Portsmouth,6,1,2.5,1.3,Championship
Sheffield Utd,Swansea City,1,0,1.7,0.9,Championship
Preston,Watford,3,0,2.7,1.4,Championship
Bristol City,Sheffield Weds,0,0,0.9,0.3,Championship
Sunderland,Leeds United,2,2,1.6,2.3,Championship
Burnley,Preston,0,0,0.5,0.8,Championship
Portsmouth,Oxford United,1,1,2.0,1.9,Championship
Norwich City,Hull City,4,0,3.8,1.0,Championship
Plymouth Argyle,Blackburn,2,1,1.7,0.7,Championship
Watford,Middlesbrough,2,1,1.0,1.8,Championship
Swansea City,Stoke City,0,0,2.0,0.9,Championship
Sheffield Utd,Luton Town,2,0,1.4,0.4,Championship
Derby County,QPR,2,0,1.0,0.5,Championship
Coventry City,Sheffield Weds,1,2,0.7,1.5,Championship
West Brom,Millwall,0,0,0.7,0.5,Championship
Bristol City,Cardiff City,1,1,1.0,1.3,Championship
Leeds United,Sheffield Utd,2,0,1.2,0.2,Championship
Oxford United,West Brom,1,1,0.9,0.7,Championship
Cardiff City,Plymouth Argyle,5,0,2.5,0.5,Championship
Luton Town,Watford,3,0,1.3,0.5,Championship
Preston,Coventry City,1,0,2.0,1.0,Championship
Millwall,Derby County,1,1,1.9,0.7,Championship
QPR,Portsmouth,1,2,1.0,1.3,Championship
Stoke City,Norwich City,1,1,1.0,1.5,Championship
Middlesbrough,Bristol City,0,2,1.6,0.8,Championship
Sheffield Weds,Burnley,0,2,1.5,1.7,Championship
Blackburn,Swansea City,1,0,0.8,1.1,Championship
Hull City,Sunderland,0,1,0.5,1.0,Championship
Stoke City,Bristol City,2,2,0.9,2.4,Championship
Oxford United,Derby County,1,1,0.4,1.1,Championship
Leeds United,Watford,2,1,1.8,0.7,Championship
Preston,Norwich City,2,2,1.6,0.7,Championship
Cardiff City,Portsmouth,2,0,2.5,0.7,Championship
Sheffield Weds,Swansea City,0,0,0.6,0.8,Championship
QPR,Coventry City,1,1,0.7,0.7,Championship
Millwall,Plymouth Argyle,1,0,1.2,0.6,Championship
Luton Town,Sunderland,1,2,1.7,0.7,Championship
Blackburn,West Brom,0,0,0.9,0.4,Championship
Hull City,Burnley,1,1,0.9,0.7,Championship
Middlesbrough,Sheffield Utd,1,0,1.4,0.4,Championship
Portsmouth,Sheffield Weds,1,2,0.7,1.1,Championship
Bristol City,Leeds United,0,0,0.1,1.4,Championship
Coventry City,Luton Town,3,2,3.2,1.7,Championship
Watford,Blackburn,1,0,2.1,1.4,Championship
Burnley,QPR,0,0,1.2,0.1,Championship
Plymouth Argyle,Preston,3,3,1.1,2.1,Championship
Sheffield Utd,Stoke City,2,0,1.3,0.5,Championship
Sunderland,Oxford United,2,0,1.2,0.2,Championship
Swansea City,Millwall,0,1,1.9,0.3,Championship
West Brom,Cardiff City,0,0,1.6,0.7,Championship
Derby County,Hull City,1,1,0.6,1.1,Championship
Norwich City,Middlesbrough,3,3,1.1,3.3,Championship
Luton Town,West Brom,1,1,0.9,0.7,Championship
Oxford United,Swansea City,1,2,1.5,2.5,Championship
Blackburn,Sheffield Utd,0,2,0.6,2.2,Championship
Stoke City,Derby County,2,1,2.2,0.6,Championship
Cardiff City,Norwich City,2,1,0.6,1.5,Championship
Sheffield Weds,Watford,2,6,1.5,4.1,Championship
Preston,Bristol City,1,3,0.6,1.3,Championship
Hull City,Portsmouth,1,1,1.4,0.8,Championship
QPR,Sunderland,0,0,1.4,0.9,Championship
Middlesbrough,Coventry City,0,3,0.9,2.5,Championship
Leeds United,Plymouth Argyle,3,0,1.8,0.0,Championship
Millwall,Burnley,1,0,1.0,0.2,Championship
QPR,Middlesbrough,1,4,0.6,2.2,Championship
Sheffield Weds,Norwich City,2,0,2.0,0.4,Championship
Bristol City,Sheffield Utd,1,2,1.5,1.2,Championship
Oxford United,Hull City,1,0,0.6,1.1,Championship
Plymouth Argyle,Portsmouth,1,0,0.9,0.8,Championship
Swansea City,Watford,1,0,2.0,0.4,Championship
Blackburn,Stoke City,0,2,2.8,2.3,Championship
Millwall,Leeds United,1,0,0.2,0.7,Championship
Coventry City,Derby County,1,2,1.2,0.5,Championship
Preston,Sunderland,0,0,1.5,0.7,Championship
Luton Town,Cardiff City,1,0,1.0,0.4,Championship
West Brom,Burnley,0,0,0.8,1.0,Championship
Watford,Oxford United,1,0,1.7,1.4,Championship
Stoke City,Millwall,1,1,0.7,1.8,Championship
Middlesbrough,Luton Town,5,1,1.3,0.3,Championship
Cardiff City,Blackburn,1,3,1.6,2.4,Championship
Portsmouth,Preston,3,1,2.2,0.7,Championship
Leeds United,QPR,2,0,2.1,0.3,Championship
Norwich City,Bristol City,0,2,0.4,0.9,Championship
Derby County,Plymouth Argyle,1,1,1.1,0.1,Championship
Sunderland,Coventry City,2,2,0.7,0.6,Championship
Sheffield Utd,Sheffield Weds,1,0,0.5,0.4,Championship
Hull City,West Brom,1,2,1.2,1.2,Championship
Burnley,Swansea City,1,0,1.8,0.8,Championship
Plymouth Argyle,Watford,2,2,0.4,2.3,Championship
Bristol City,Burnley,0,1,0.7,1.4,Championship
Sheffield Weds,Cardiff City,1,1,2.8,1.3,Championship
Coventry City,Sheffield Utd,2,2,2.2,1.3,Championship
QPR,Stoke City,1,1,2.2,1.2,Championship
Millwall,Sunderland,1,1,1.3,1.0,Championship
Luton Town,Hull City,1,0,0.8,1.5,Championship
Preston,Derby County,1,1,0.3,0.5,Championship
Oxford United,Middlesbrough,2,6,0.6,3.5,Championship
West Brom,Norwich City,2,2,1.8,2.0,Championship
Swansea City,Leeds United,3,4,1.3,2.2,Championship
Watford,Bristol City,1,0,0.4,0.7,Championship
Burnley,Coventry City,2,0,1.0,0.1,Championship
Sheffield Utd,Oxford United,3,0,3.6,0.3,Championship
Stoke City,Preston,0,0,0.7,0.8,Championship
Norwich City,Plymouth Argyle,6,1,3.1,0.6,Championship
Hull City,Sheffield Weds,0,2,1.0,2.2,Championship
Sunderland,West Brom,0,0,0.9,0.4,Championship
Cardiff City,QPR,0,2,1.2,0.9,Championship
Middlesbrough,Blackburn,0,1,0.7,1.4,Championship
Leeds United,Luton Town,3,0,2.1,0.9,Championship
Derby County,Swansea City,1,2,3.4,0.2,Championship
Sheffield Utd,Sunderland,1,0,0.9,1.7,Championship
Middlesbrough,Hull City,3,1,1.8,1.2,Championship
Watford,QPR,0,0,0.8,2.2,Championship
Oxford United,Millwall,1,1,0.9,0.9,Championship
Blackburn,Leeds United,1,0,2.2,1.4,Championship
Stoke City,Burnley,0,2,1.0,3.0,Championship
Swansea City,Portsmouth,2,2,2.8,1.3,Championship
Coventry City,Cardiff City,2,2,2.5,0.7,Championship
Norwich City,Luton Town,4,2,1.8,1.5,Championship
Bristol City,Plymouth Argyle,4,0,3.2,0.2,Championship
Preston,West Brom,1,1,0.9,0.5,Championship
Derby County,Sheffield Weds,1,2,1.8,0.9,Championship
Burnley,Middlesbrough,1,1,0.6,1.1,Championship
Sunderland,Stoke City,2,1,2.4,1.0,Championship
Leeds United,Derby County,2,0,1.2,0.2,Championship
Sheffield Weds,Preston,1,1,1.5,3.0,Championship
Hull City,Blackburn,0,1,1.0,0.3,Championship
QPR,Norwich City,3,0,0.8,0.3,Championship
Millwall,Coventry City,0,1,0.5,1.7,Championship
Portsmouth,Bristol City,3,0,2.4,1.2,Championship
Luton Town,Swansea City,1,1,1.2,2.1,Championship
West Brom,Sheffield Utd,2,2,0.8,1.7,Championship
Luton Town,Stoke City,2,1,2.1,1.3,Championship
Sheffield Weds,Blackburn,0,1,0.9,0.9,Championship
Burnley,Derby County,0,0,1.3,0.6,Championship
Plymouth Argyle,Swansea City,1,2,1.2,1.9,Championship
Portsmouth,Norwich City,0,0,0.8,0.3,Championship
Sunderland,Bristol City,1,1,1.6,0.4,Championship
Leeds United,Middlesbrough,3,1,2.0,0.5,Championship
Cardiff City,Preston,0,2,0.7,1.1,Championship
Millwall,Sheffield Utd,0,1,0.9,1.4,Championship
QPR,Oxford United,2,0,0.7,0.1,Championship
Hull City,Watford,1,1,1.5,1.2,Championship
West Brom,Coventry City,2,0,0.5,2.2,Championship
Derby County,Portsmouth,4,0,1.8,0.6,Championship
Bristol City,QPR,1,1,2.0,0.3,Championship
Coventry City,Hull City,2,1,3.2,0.9,Championship
Preston,Leeds United,1,1,0.6,2.2,Championship
Swansea City,Sunderland,2,3,1.1,1.0,Championship
Stoke City,Cardiff City,2,2,1.8,1.8,Championship
Blackburn,Luton Town,2,0,1.7,0.9,Championship
Middlesbrough,Millwall,1,0,1.1,1.3,Championship
Sheffield Utd,Plymouth Argyle,2,0,1.3,1.1,Championship
Oxford United,Sheffield Weds,1,3,1.4,1.9,Championship
Watford,West Brom,2,1,1.4,1.4,Championship
Norwich City,Burnley,1,2,1.1,0.5,Championship
Luton Town,Derby County,2,1,1.0,0.6,Championship
Hull City,Swansea City,2,1,1.4,0.8,Championship
Sheffield Weds,Stoke City,2,0,1.5,2.1,Championship
Portsmouth,Coventry City,4,1,2.1,1.7,Championship
Burnley,Watford,2,1,1.2,0.6,Championship
QPR,Preston,2,1,2.1,0.3,Championship
Millwall,Blackburn,1,0,1.0,0.5,Championship
Leeds United,Oxford United,4,0,2.9,0.9,Championship
Cardiff City,Sheffield Utd,0,2,0.3,0.8,Championship
