Home_Team,Away_Team
Leicester City,Arsenal
Aston Villa,Ipswich Town
Fulham,Nott'ham Forest
Manchester City,Newcastle Utd
Southampton,Bournemouth
West Ham,Brentford
Crystal Palace,Everton
Liverpool,Wolves
Tottenham,Manchester Utd
Bochum,Dortmund
St. Pauli,Freiburg
Stuttgart,Wolfsburg
Union Berlin,Gladbach
Leverkusen,Bayern Munich
Werder Bremen,Heidenheim
Eintracht Frankfurt,Holstein Kiel
Heidenheim,Mainz 05
Marseille,Saint-Étienne
Monaco,Nantes
Toulouse,Paris S-G
Montpellier,Lyon
Lens,Strasbourg
Reims,Angers
Le Havre,Nice
Rennes,Lille
Leganés,Alavés
Osasuna,Real Madrid
Atlético Madrid,Celta Vigo
Villarreal,Valencia
Fiorentina,Como
Monza,Lecce
Udinese,Empoli
Parma,Roma
Juventus,Inter
Frosinone,Reggiana
Juve Stabia,Cosenza
Palermo,Mantova
Cesena,Pisa
Bologna,Torino
Brighton,Chelsea
Girona,Getafe
Augsburg,RB Leipzig
Brest,Auxerre
QPR,Derby County
Catanzaro,Cittadella
Atalanta,Cagliari
Lazio,Napoli
Milan,Hellas Verona
Carrarese,Salernitana
Modena,Spezia
Sassuolo,Brescia
Südtirol,Sampdoria
Bari,Cremonese
Espanyol,Athletic Club
Valladolid,Sevilla
Mallorca,Las Palmas
Betis,Real Sociedad
