ranker,team,comp,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
14,Bologna,it Serie A,27,26.8,57.0,21,231,"1,890",21.0,33,23,56,29,4,5,34,3,27.2,23.3,16.8,40.1,344,855,1.57,1.10,2.67,1.38,2.48,1.30,0.80,2.10,1.11,1.91
15,Bournemouth,eng Premier League,28,25.8,46.1,23,253,"2,070",23.0,41,30,71,35,6,7,59,0,44.0,38.5,29.7,68.2,443,919,1.78,1.30,3.09,1.52,2.83,1.92,1.29,3.21,1.67,2.97
16,Brentford,eng Premier League,26,26.5,47.7,23,253,"2,070",23.0,42,27,69,38,4,4,35,1,36.4,33.3,26.7,60.0,363,832,1.83,1.17,3.00,1.65,2.83,1.58,1.16,2.75,1.45,2.61
17,Brest,fr Ligue 1,26,28.6,48.7,19,209,"1,710",19.0,29,18,47,23,6,8,37,1,24.3,18.0,14.0,32.0,262,603,1.53,0.95,2.47,1.21,2.16,1.28,0.73,2.01,0.95,1.68
18,Brighton,eng Premier League,30,25.7,53.1,23,253,"2,070",23.0,34,22,56,33,1,1,51,1,31.4,30.7,22.1,52.8,507,969,1.48,0.96,2.43,1.43,2.39,1.37,0.96,2.33,1.33,2.30
19,Cagliari,it Serie A,25,27.3,46.9,22,242,"1,980",22.0,22,17,39,19,3,3,45,3,28.6,26.2,20.0,46.3,304,707,1.00,0.77,1.77,0.86,1.64,1.30,0.91,2.21,1.19,2.10
20,Celta Vigo,es La Liga,29,27.6,53.3,21,231,"1,890",21.0,29,20,49,27,2,3,50,5,28.5,26.2,21.4,47.6,381,854,1.38,0.95,2.33,1.29,2.24,1.36,1.02,2.38,1.25,2.27
21,Chelsea,eng Premier League,27,24.1,57.7,23,253,"2,070",23.0,45,34,79,42,3,3,68,1,47.0,44.6,35.6,80.2,530,949,1.96,1.48,3.43,1.83,3.30,2.04,1.55,3.59,1.94,3.49
22,Como,it Serie A,32,27.5,54.2,22,242,"1,980",22.0,23,20,43,23,0,2,48,3,26.2,24.7,21.1,45.8,385,770,1.05,0.91,1.95,1.05,1.95,1.19,0.96,2.15,1.12,2.08
23,Crystal Palace,eng Premier League,26,26.8,43.9,23,253,"2,070",23.0,25,20,45,23,2,2,47,1,31.2,29.6,24.1,53.7,314,752,1.09,0.87,1.96,1.00,1.87,1.36,1.05,2.40,1.29,2.33
24,Dortmund,de Bundesliga,25,27.1,59.5,19,209,"1,710",19.0,33,24,57,29,4,4,45,5,26.7,23.7,20.0,43.7,391,822,1.74,1.26,3.00,1.53,2.79,1.41,1.05,2.46,1.25,2.30
25,Eint Frankfurt,de Bundesliga,24,25.7,49.4,19,209,"1,710",19.0,44,30,74,41,3,3,30,1,37.4,35.0,26.9,61.9,356,732,2.32,1.58,3.89,2.16,3.74,1.97,1.42,3.38,1.84,3.26
26,Empoli,it Serie A,27,25.8,40.6,22,242,"1,980",22.0,20,13,33,18,2,3,40,1,18.0,15.6,12.2,27.9,255,574,0.91,0.59,1.50,0.82,1.41,0.82,0.56,1.38,0.71,1.27
27,Espanyol,es La Liga,26,26.0,40.1,21,231,"1,890",21.0,19,15,34,18,1,1,57,0,18.0,17.2,13.4,30.6,273,574,0.90,0.71,1.62,0.86,1.57,0.85,0.64,1.50,0.82,1.46
28,Everton,eng Premier League,24,29.1,40.0,22,242,"1,980",22.0,16,9,25,15,1,1,48,1,21.9,21.1,16.4,37.5,290,601,0.73,0.41,1.14,0.68,1.09,1.00,0.74,1.74,0.96,1.70
29,Fiorentina,it Serie A,29,26.6,51.5,21,231,"1,890",21.0,34,22,56,29,5,6,42,2,29.0,24.3,19.9,44.2,392,766,1.62,1.05,2.67,1.38,2.43,1.38,0.95,2.33,1.16,2.10
30,Freiburg,de Bundesliga,25,27.9,47.8,19,209,"1,710",19.0,25,18,43,25,0,3,31,2,23.3,21.0,14.4,35.4,242,607,1.32,0.95,2.26,1.32,2.26,1.23,0.76,1.99,1.11,1.86
31,Fulham,eng Premier League,25,28.5,52.8,23,253,"2,070",23.0,33,29,62,30,3,4,51,2,32.4,29.2,24.9,54.1,503,944,1.43,1.26,2.70,1.30,2.57,1.41,1.08,2.49,1.27,2.35
32,Genoa,it Serie A,33,27.0,44.0,22,242,"1,980",22.0,19,13,32,19,0,2,45,0,23.3,21.6,16.2,37.8,267,580,0.86,0.59,1.45,0.86,1.45,1.06,0.74,1.80,0.98,1.72
33,Getafe,es La Liga,27,27.9,43.2,21,231,"1,890",21.0,17,9,26,13,4,4,63,1,20.2,17.1,12.4,29.6,230,568,0.81,0.43,1.24,0.62,1.05,0.96,0.59,1.55,0.82,1.41
34,Girona,es La Liga,28,27.8,58.0,21,231,"1,890",21.0,28,20,48,25,3,3,48,1,26.2,24.0,19.3,43.2,423,1009,1.33,0.95,2.29,1.19,2.14,1.25,0.92,2.17,1.14,2.06
35,Gladbach,de Bundesliga,23,27.2,51.0,19,209,"1,710",19.0,29,22,51,27,2,3,31,1,29.3,26.8,22.2,49.0,291,632,1.53,1.16,2.68,1.42,2.58,1.54,1.17,2.71,1.41,2.58
36,Heidenheim,de Bundesliga,25,27.3,43.6,19,209,"1,710",19.0,24,15,39,21,3,3,38,1,25.2,22.8,17.8,40.6,282,553,1.26,0.79,2.05,1.11,1.89,1.33,0.94,2.26,1.20,2.14
37,Hellas Verona,it Serie A,27,25.8,39.1,22,242,"1,980",22.0,23,17,40,21,2,2,61,7,21.9,20.3,17.0,37.3,269,603,1.05,0.77,1.82,0.95,1.73,0.99,0.77,1.77,0.92,1.70
38,Hoffenheim,de Bundesliga,31,27.2,49.7,19,209,"1,710",19.0,25,14,39,23,2,2,37,1,24.9,23.4,19.0,42.3,274,728,1.32,0.74,2.05,1.21,1.95,1.31,1.00,2.31,1.23,2.23
39,Holstein Kiel,de Bundesliga,25,26.1,43.1,19,209,"1,710",19.0,28,18,46,26,2,3,47,3,20.9,18.5,13.8,32.3,197,489,1.47,0.95,2.42,1.37,2.32,1.10,0.73,1.82,0.97,1.70
40,Inter,it Serie A,23,29.9,59.4,21,231,"1,890",21.0,54,40,94,48,6,7,29,0,41.1,36.0,26.6,62.6,346,961,2.57,1.90,4.48,2.29,4.19,1.96,1.27,3.23,1.71,2.98
41,Ipswich Town,eng Premier League,31,26.5,40.1,23,253,"2,070",23.0,20,14,34,18,2,2,60,2,20.5,18.9,14.7,33.6,301,548,0.87,0.61,1.48,0.78,1.39,0.89,0.64,1.53,0.82,1.46
42,Juventus,it Serie A,26,25.2,59.0,22,242,"1,980",22.0,33,23,56,29,4,4,41,1,30.3,27.2,21.0,48.2,517,854,1.50,1.05,2.55,1.32,2.36,1.38,0.95,2.33,1.24,2.19
43,Las Palmas,es La Liga,28,27.8,52.0,21,231,"1,890",21.0,24,17,41,23,1,2,62,2,20.4,18.8,15.0,33.7,281,683,1.14,0.81,1.95,1.10,1.90,0.97,0.71,1.68,0.89,1.61
44,Lazio,it Serie A,23,27.7,54.8,22,242,"1,980",22.0,37,26,63,33,4,5,57,4,33.3,29.6,21.0,50.6,445,931,1.68,1.18,2.86,1.50,2.68,1.51,0.95,2.47,1.35,2.30
45,Le Havre,fr Ligue 1,28,27.4,42.5,19,209,"1,710",19.0,12,8,20,9,3,3,34,2,18.9,16.5,11.5,28.1,272,622,0.63,0.42,1.05,0.47,0.89,1.00,0.61,1.60,0.87,1.48
46,Lecce,it Serie A,27,26.6,44.7,23,253,"2,070",23.0,18,14,32,17,1,2,38,5,22.2,20.6,16.1,36.7,320,643,0.78,0.61,1.39,0.74,1.35,0.96,0.70,1.66,0.90,1.59
47,Leganés,es La Liga,23,28.4,41.0,21,242,"1,980",22.0,19,17,36,17,2,4,45,4,17.3,14.2,10.8,25.0,221,525,0.86,0.77,1.64,0.77,1.55,0.79,0.49,1.28,0.64,1.14
48,Leicester City,eng Premier League,28,27.1,45.8,23,253,"2,070",23.0,25,20,45,23,2,2,56,0,23.1,21.7,18.5,40.1,364,666,1.09,0.87,1.96,1.00,1.87,1.00,0.80,1.81,0.94,1.74
49,Lens,fr Ligue 1,31,27.5,54.7,20,220,"1,800",20.0,23,13,36,21,2,2,50,4,32.8,31.3,22.7,54.0,347,904,1.15,0.65,1.80,1.05,1.70,1.64,1.13,2.78,1.56,2.70
50,Leverkusen,de Bundesliga,21,27.5,58.7,19,209,"1,710",19.0,45,35,80,43,2,5,31,0,36.5,32.4,25.8,58.2,388,981,2.37,1.84,4.21,2.26,4.11,1.92,1.36,3.27,1.71,3.06
51,Lille,fr Ligue 1,24,26.4,57.3,19,209,"1,710",19.0,29,16,45,24,5,7,48,1,30.4,25.4,19.6,45.0,385,897,1.53,0.84,2.37,1.26,2.11,1.60,1.03,2.63,1.34,2.37
52,Liverpool,eng Premier League,24,27.7,58.0,22,242,"1,980",22.0,54,42,96,49,5,5,45,1,51.4,47.6,38.4,85.9,494,1145,2.45,1.91,4.36,2.23,4.14,2.34,1.75,4.08,2.16,3.91
53,Lyon,fr Ligue 1,27,28.3,55.7,19,209,"1,710",19.0,27,19,46,25,2,4,32,0,31.7,28.5,22.6,51.2,386,948,1.42,1.00,2.42,1.32,2.32,1.67,1.19,2.86,1.50,2.69
54,Mainz 05,de Bundesliga,23,28.2,48.6,20,220,"1,800",20.0,31,22,53,28,3,3,47,3,28.1,25.8,21.3,47.1,263,725,1.55,1.10,2.65,1.40,2.50,1.41,1.06,2.47,1.29,2.35
55,Mallorca,es La Liga,26,29.1,46.0,21,231,"1,890",21.0,18,13,31,16,2,2,48,6,22.8,21.3,15.8,37.1,279,656,0.86,0.62,1.48,0.76,1.38,1.09,0.75,1.84,1.01,1.77
56,Manchester City,eng Premier League,26,27.8,61.1,23,253,"2,070",23.0,46,34,80,45,1,2,46,1,43.4,41.7,36.2,77.9,716,1209,2.00,1.48,3.48,1.96,3.43,1.89,1.57,3.46,1.81,3.39
57,Manchester Utd,eng Premier League,25,26.3,53.5,23,253,"2,070",23.0,27,19,46,24,3,3,54,2,32.8,30.4,25.2,55.6,393,846,1.17,0.83,2.00,1.04,1.87,1.42,1.09,2.52,1.32,2.42
58,Marseille,fr Ligue 1,28,27.2,61.8,19,209,"1,710",19.0,39,25,64,34,5,6,37,5,31.6,26.8,20.7,47.5,331,873,2.05,1.32,3.37,1.79,3.11,1.66,1.09,2.75,1.41,2.50
59,Milan,it Serie A,28,26.3,54.4,21,231,"1,890",21.0,32,21,53,29,3,5,39,3,35.3,31.4,24.5,55.9,509,927,1.52,1.00,2.52,1.38,2.38,1.68,1.17,2.85,1.49,2.66
60,Monaco,fr Ligue 1,26,24.8,56.7,19,209,"1,710",19.0,32,26,58,30,2,2,38,3,40.4,39.0,31.7,70.7,379,916,1.68,1.37,3.05,1.58,2.95,2.13,1.67,3.79,2.05,3.72
61,Montpellier,fr Ligue 1,31,27.3,46.4,20,220,"1,800",20.0,20,11,31,17,3,4,60,6,23.1,20.0,14.8,34.8,331,638,1.00,0.55,1.55,0.85,1.40,1.15,0.74,1.89,1.00,1.74
62,Monza,it Serie A,29,27.6,47.9,22,242,"1,980",22.0,19,12,31,17,2,2,62,3,18.7,17.3,12.9,30.2,302,591,0.86,0.55,1.41,0.77,1.32,0.85,0.59,1.44,0.79,1.37
63,Nantes,fr Ligue 1,27,27.1,40.4,19,209,"1,710",19.0,22,16,38,19,3,3,39,1,20.9,18.5,14.4,32.9,296,640,1.16,0.84,2.00,1.00,1.84,1.10,0.76,1.86,0.97,1.73
64,Napoli,it Serie A,23,29.0,53.1,22,242,"1,980",22.0,35,26,61,31,4,5,26,0,31.8,28.0,24.0,52.1,432,929,1.59,1.18,2.77,1.41,2.59,1.45,1.09,2.54,1.27,2.37
65,Newcastle Utd,eng Premier League,24,27.7,51.1,23,253,"2,070",23.0,40,31,71,38,2,3,44,1,40.5,38.1,31.5,69.6,448,947,1.74,1.35,3.09,1.65,3.00,1.76,1.37,3.13,1.66,3.03
66,Nice,fr Ligue 1,29,26.5,46.3,19,209,"1,710",19.0,36,24,60,33,3,3,38,2,33.9,31.6,22.5,54.1,390,685,1.89,1.26,3.16,1.74,3.00,1.79,1.19,2.97,1.66,2.85
67,Nott'ham Forest,eng Premier League,23,26.9,40.1,23,253,"2,070",23.0,33,24,57,31,2,2,54,2,28.5,26.9,20.3,47.2,401,648,1.43,1.04,2.48,1.35,2.39,1.24,0.88,2.12,1.17,2.05
68,Osasuna,es La Liga,23,27.9,46.0,21,231,"1,890",21.0,23,12,35,19,4,4,53,0,21.9,19.0,15.1,34.1,325,674,1.10,0.57,1.67,0.90,1.48,1.04,0.72,1.76,0.90,1.62
69,Paris S-G,fr Ligue 1,24,24.3,68.7,19,209,"1,710",19.0,47,36,83,43,4,4,24,0,48.2,45.1,38.6,83.6,556,1176,2.47,1.89,4.37,2.26,4.16,2.54,2.03,4.57,2.37,4.40
70,Parma,it Serie A,31,24.5,44.6,23,253,"2,070",23.0,28,19,47,23,5,6,45,4,28.6,23.9,18.3,42.2,398,689,1.22,0.83,2.04,1.00,1.83,1.25,0.79,2.04,1.04,1.84
71,Rayo Vallecano,es La Liga,23,29.5,49.6,21,242,"1,980",22.0,24,18,42,24,0,0,58,2,26.1,26.1,21.0,47.1,326,769,1.09,0.82,1.91,1.09,1.91,1.19,0.96,2.14,1.19,2.14
72,RB Leipzig,de Bundesliga,27,26.3,51.4,19,209,"1,710",19.0,32,22,54,31,1,2,38,3,26.6,25.0,21.6,46.6,289,749,1.68,1.16,2.84,1.63,2.79,1.40,1.14,2.54,1.32,2.45
73,Real Madrid,es La Liga,26,27.5,61.0,21,231,"1,890",21.0,50,37,87,42,8,10,34,2,43.0,35.5,30.5,66.0,514,1083,2.38,1.76,4.14,2.00,3.76,2.05,1.45,3.50,1.69,3.14
74,Real Sociedad,es La Liga,26,26.0,55.9,21,231,"1,890",21.0,16,12,28,14,2,2,53,1,24.1,22.6,18.6,41.1,389,800,0.76,0.57,1.33,0.67,1.24,1.15,0.88,2.03,1.07,1.96
75,Reims,fr Ligue 1,27,25.5,45.4,19,209,"1,710",19.0,25,12,37,24,1,1,42,1,22.6,21.8,15.2,37.0,340,687,1.32,0.63,1.95,1.26,1.89,1.19,0.80,1.99,1.15,1.95
76,Rennes,fr Ligue 1,26,26.4,51.4,19,209,"1,710",19.0,26,14,40,22,4,5,40,1,23.3,19.9,12.5,32.4,350,830,1.37,0.74,2.11,1.16,1.89,1.22,0.66,1.88,1.05,1.71
77,Roma,it Serie A,25,27.2,55.6,22,242,"1,980",22.0,32,18,50,26,6,6,43,1,32.2,27.5,20.8,48.3,408,863,1.45,0.82,2.27,1.18,2.00,1.46,0.94,2.41,1.25,2.20
78,Saint-Étienne,fr Ligue 1,29,26.4,45.2,19,209,"1,710",19.0,18,12,30,16,2,2,39,1,19.5,18.0,13.1,31.1,276,592,0.95,0.63,1.58,0.84,1.47,1.03,0.69,1.72,0.95,1.64
79,Sevilla,es La Liga,32,26.7,53.5,21,231,"1,890",21.0,21,18,39,20,1,2,56,5,23.7,22.1,16.5,38.6,348,653,1.00,0.86,1.86,0.95,1.81,1.13,0.79,1.91,1.05,1.84
80,Southampton,eng Premier League,31,26.1,52.0,23,253,"2,070",23.0,15,11,26,15,0,2,66,3,22.8,21.0,17.5,38.6,421,744,0.65,0.48,1.13,0.65,1.13,0.99,0.76,1.75,0.91,1.68
81,St. Pauli,de Bundesliga,26,27.7,43.6,19,209,"1,710",19.0,17,15,32,16,1,2,29,1,21.3,19.6,16.8,36.4,238,611,0.89,0.79,1.68,0.84,1.63,1.12,0.88,2.00,1.03,1.92
82,Strasbourg,fr Ligue 1,27,22.1,48.3,19,209,"1,710",19.0,32,24,56,30,2,2,43,0,27.5,25.9,20.7,46.6,299,614,1.68,1.26,2.95,1.58,2.84,1.45,1.09,2.54,1.37,2.45
83,Stuttgart,de Bundesliga,26,25.4,58.8,19,209,"1,710",19.0,36,23,59,34,2,5,42,2,36.2,32.3,23.9,56.2,304,824,1.89,1.21,3.11,1.79,3.00,1.91,1.26,3.16,1.70,2.96
84,Torino,it Serie A,25,27.4,48.5,22,242,"1,980",22.0,22,14,36,21,1,2,48,2,20.5,19.0,12.7,31.7,309,687,1.00,0.64,1.64,0.95,1.59,0.93,0.58,1.51,0.86,1.44
85,Tottenham,eng Premier League,28,25.8,57.8,23,253,"2,070",23.0,44,35,79,44,0,1,45,1,38.8,38.0,30.3,68.3,552,1088,1.91,1.52,3.43,1.91,3.43,1.69,1.32,3.01,1.65,2.97
86,Toulouse,fr Ligue 1,24,25.8,45.8,19,209,"1,710",19.0,18,15,33,16,2,3,28,1,26.9,24.5,19.6,44.1,322,719,0.95,0.79,1.74,0.84,1.63,1.41,1.03,2.45,1.29,2.32
87,Udinese,it Serie A,28,27.1,46.3,22,242,"1,980",22.0,25,18,43,25,0,2,53,4,20.0,18.3,14.1,32.4,333,662,1.14,0.82,1.95,1.14,1.95,0.91,0.64,1.55,0.83,1.47
88,Union Berlin,de Bundesliga,26,27.7,42.1,19,209,"1,710",19.0,16,11,27,14,2,2,50,1,20.8,19.3,13.7,33.0,226,610,0.84,0.58,1.42,0.74,1.32,1.10,0.72,1.82,1.01,1.74
89,Valencia,es La Liga,31,25.0,46.9,21,231,"1,890",21.0,20,11,31,17,3,3,48,1,21.4,19.0,14.4,33.5,310,706,0.95,0.52,1.48,0.81,1.33,1.02,0.69,1.71,0.91,1.59
90,Valladolid,es La Liga,27,26.1,42.3,21,231,"1,890",21.0,14,9,23,11,3,3,60,3,18.6,16.3,13.8,30.1,257,546,0.67,0.43,1.10,0.52,0.95,0.89,0.66,1.54,0.78,1.43
91,Venezia,it Serie A,31,26.1,44.0,22,242,"1,980",22.0,20,11,31,17,3,4,40,1,20.3,17.2,12.0,29.2,301,619,0.91,0.50,1.41,0.77,1.27,0.92,0.55,1.47,0.78,1.33
92,Villarreal,es La Liga,26,27.8,48.3,21,231,"1,890",21.0,37,24,61,32,5,7,60,2,37.1,31.5,25.8,57.3,370,854,1.76,1.14,2.90,1.52,2.67,1.77,1.23,3.00,1.50,2.73
93,Werder Bremen,de Bundesliga,22,28.1,50.7,20,220,"1,800",20.0,34,26,60,33,1,2,46,4,28.2,27.0,21.7,48.7,302,819,1.70,1.30,3.00,1.65,2.95,1.41,1.08,2.50,1.35,2.44
94,West Ham,eng Premier League,26,28.9,47.2,23,253,"2,070",23.0,27,16,43,24,3,3,56,3,30.7,28.4,21.2,49.6,386,750,1.17,0.70,1.87,1.04,1.74,1.33,0.92,2.25,1.23,2.15
95,Wolfsburg,de Bundesliga,23,25.7,43.9,19,209,"1,710",19.0,41,28,69,39,2,3,50,2,28.8,26.3,19.7,46.0,244,629,2.16,1.47,3.63,2.05,3.53,1.52,1.04,2.56,1.38,2.42
96,Wolves,eng Premier League,26,27.4,47.1,23,253,"2,070",23.0,32,27,59,32,0,0,53,2,24.1,24.1,20.1,44.2,361,718,1.39,1.17,2.57,1.39,2.57,1.05,0.87,1.92,1.05,1.92
