ranker,team,comp,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
1,Alavés,es La Liga,25,27.2,44.0,21,231,"1,890",21.0,25,12,37,20,5,6,56,2,23.1,18.4,12.7,31.1,258,626,1.19,0.57,1.76,0.95,1.52,1.10,0.61,1.71,0.88,1.48
2,Angers,fr Ligue 1,23,28.1,42.4,19,209,"1,710",19.0,20,13,33,17,3,4,26,1,22.5,19.3,15.7,35.0,294,558,1.05,0.68,1.74,0.89,1.58,1.18,0.82,2.01,1.02,1.84
3,Arsenal,eng Premier League,24,26.4,55.2,23,253,"2,070",23.0,42,32,74,40,2,2,51,4,37.6,36.1,28.3,64.4,475,1052,1.83,1.39,3.22,1.74,3.13,1.64,1.23,2.87,1.57,2.80
4,Aston Villa,eng Premier League,24,27.6,49.5,23,253,"2,070",23.0,33,26,59,31,2,3,50,2,33.7,31.4,24.6,55.9,403,769,1.43,1.13,2.57,1.35,2.48,1.47,1.07,2.54,1.36,2.43
5,Atalanta,it Serie A,28,27.3,56.0,22,242,"1,980",22.0,47,34,81,44,3,4,45,0,36.8,33.7,27.2,60.9,488,1065,2.14,1.55,3.68,2.00,3.55,1.67,1.23,2.91,1.53,2.77
6,Athletic Club,es La Liga,28,27.5,48.4,21,231,"1,890",21.0,31,25,56,30,1,3,40,3,29.6,27.2,21.9,49.1,404,896,1.48,1.19,2.67,1.43,2.62,1.41,1.04,2.45,1.30,2.34
7,Atlético Madrid,es La Liga,24,29.1,53.0,21,231,"1,890",21.0,35,28,63,34,1,2,48,1,36.2,34.7,27.5,62.1,412,901,1.67,1.33,3.00,1.62,2.95,1.72,1.31,3.03,1.65,2.96
8,Augsburg,de Bundesliga,28,27.3,43.5,19,209,"1,710",19.0,23,15,38,22,1,2,51,2,20.2,18.6,13.3,31.9,240,647,1.21,0.79,2.00,1.16,1.95,1.06,0.70,1.76,0.98,1.68
9,Auxerre,fr Ligue 1,27,26.5,42.3,19,209,"1,710",19.0,25,18,43,23,2,3,38,4,22.8,20.6,17.6,38.2,263,638,1.32,0.95,2.26,1.21,2.16,1.20,0.93,2.13,1.08,2.01
10,Barcelona,es La Liga,27,25.0,67.0,21,231,"1,890",21.0,58,42,100,55,3,4,35,2,54.2,51.1,42.8,93.9,466,1190,2.76,2.00,4.76,2.62,4.62,2.58,2.04,4.62,2.43,4.47
11,Bayern Munich,de Bundesliga,25,28.4,70.7,19,209,"1,710",19.0,56,36,92,49,7,7,29,0,46.2,40.8,32.7,73.6,495,1241,2.95,1.89,4.84,2.58,4.47,2.43,1.72,4.15,2.15,3.87
12,Betis,es La Liga,33,27.7,51.1,21,231,"1,890",21.0,21,14,35,18,3,4,46,3,29.6,26.6,20.9,47.5,329,801,1.00,0.67,1.67,0.86,1.52,1.41,1.00,2.41,1.27,2.26
13,Bochum,de Bundesliga,23,28.7,43.2,19,209,"1,710",19.0,17,13,30,16,1,2,37,1,22.0,20.4,17.0,37.5,207,560,0.89,0.68,1.58,0.84,1.53,1.16,0.90,2.05,1.08,1.97
