team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,league
Arsenal,24,26.5,55.8,29,319,"2,610",29.0,51,40,91,49,2,2,60,5,44.5,43.0,33.9,76.9,632,1394,1.76,1.38,3.14,1.69,3.07,1.54,1.17,2.71,1.48,2.65,Premier League
Aston Villa,28,27.7,51.4,29,319,"2,610",29.0,40,31,71,38,2,3,58,2,41.2,38.8,30.4,69.2,554,1010,1.38,1.07,2.45,1.31,2.38,1.42,1.05,2.47,1.34,2.39,Premier League
Bournemouth,28,25.8,47.0,29,319,"2,610",29.0,47,36,83,41,6,7,74,1,52.9,47.4,36.5,83.9,564,1136,1.62,1.24,2.86,1.41,2.66,1.82,1.26,3.08,1.63,2.89,Premier League
Brentford,27,26.6,48.2,29,319,"2,610",29.0,50,32,82,46,4,4,40,1,44.7,41.6,32.6,74.1,470,1072,1.72,1.10,2.83,1.59,2.69,1.54,1.12,2.66,1.43,2.56,Premier League
Brighton,30,25.6,51.8,29,319,"2,610",29.0,46,30,76,43,3,3,62,1,43.6,41.3,30.8,72.1,619,1162,1.59,1.03,2.62,1.48,2.52,1.50,1.06,2.57,1.42,2.48,Premier League
Chelsea,29,24.3,58.1,29,319,"2,610",29.0,52,40,92,49,3,4,81,1,55.9,52.7,42.9,95.7,667,1199,1.79,1.38,3.17,1.69,3.07,1.93,1.48,3.41,1.82,3.30,Premier League
Crystal Palace,27,26.9,43.9,28,308,"2,520",28.0,34,26,60,32,2,2,58,1,44.1,42.6,33.4,75.9,371,899,1.21,0.93,2.14,1.14,2.07,1.58,1.19,2.77,1.52,2.71,Premier League
Everton,26,28.9,40.8,29,319,"2,610",29.0,29,19,48,28,1,1,61,2,31.6,30.8,24.2,55.0,369,799,1.00,0.66,1.66,0.97,1.62,1.09,0.84,1.93,1.06,1.90,Premier League
Fulham,26,28.7,52.7,29,319,"2,610",29.0,42,37,79,39,3,4,61,2,39.8,36.6,30.9,67.5,612,1215,1.45,1.28,2.72,1.34,2.62,1.37,1.06,2.44,1.26,2.33,Premier League
Ipswich Town,32,26.4,41.4,29,319,"2,610",29.0,27,19,46,25,2,2,75,3,27.1,25.6,18.0,43.6,401,731,0.93,0.66,1.59,0.86,1.52,0.94,0.62,1.56,0.88,1.50,Premier League
Leicester City,28,27.3,45.9,29,319,"2,610",29.0,25,20,45,23,2,2,64,0,25.7,24.2,20.4,44.6,472,861,0.86,0.69,1.55,0.79,1.48,0.89,0.70,1.59,0.84,1.54,Premier League
Liverpool,24,27.9,57.1,29,319,"2,610",29.0,69,51,120,60,9,9,56,2,65.0,58.0,47.2,105.2,635,1441,2.38,1.76,4.14,2.07,3.83,2.24,1.63,3.87,2.00,3.63,Premier League
Manchester City,27,27.5,60.7,29,319,"2,610",29.0,54,40,94,52,2,3,50,1,51.4,49.0,42.2,91.2,892,1489,1.86,1.38,3.24,1.79,3.17,1.77,1.46,3.23,1.69,3.14,Premier League
Manchester Utd,29,26.4,52.7,29,319,"2,610",29.0,35,23,58,32,3,3,64,3,38.9,36.5,29.2,65.7,492,1055,1.21,0.79,2.00,1.10,1.90,1.34,1.01,2.35,1.26,2.27,Premier League
Newcastle Utd,24,27.8,50.3,28,308,"2,520",28.0,46,35,81,43,3,4,52,1,46.3,43.1,34.5,77.6,539,1127,1.64,1.25,2.89,1.54,2.79,1.65,1.23,2.88,1.54,2.77,Premier League
