team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,league
Lyon,27,28.3,54.8,20,220,"1,800",20.0,29,20,49,26,3,5,33,0,33.4,29.4,23.2,52.7,391,968,1.45,1.00,2.45,1.30,2.30,1.67,1.16,2.83,1.47,2.63,Ligue 1
Marseille,29,27.2,61.9,20,220,"1,800",20.0,42,28,70,37,5,6,41,5,34.7,29.9,23.6,53.6,351,927,2.10,1.40,3.50,1.85,3.25,1.74,1.18,2.92,1.50,2.68,Ligue 1
Monaco,26,24.8,56.8,20,220,"1,800",20.0,36,29,65,34,2,2,40,3,43.0,41.6,34.1,75.7,394,970,1.80,1.45,3.25,1.70,3.15,2.15,1.71,3.86,2.08,3.79,Ligue 1
Montpellier,31,27.3,46.4,20,220,"1,800",20.0,20,11,31,17,3,4,60,6,23.1,20.0,14.8,34.8,331,638,1.00,0.55,1.55,0.85,1.40,1.15,0.74,1.89,1.00,1.74,Ligue 1
Nantes,27,27.2,40.6,20,220,"1,800",20.0,24,18,42,21,3,3,42,1,22.8,20.5,16.3,36.7,309,666,1.20,0.90,2.10,1.05,1.95,1.14,0.81,1.95,1.02,1.84,Ligue 1
Nice,29,26.6,46.3,20,220,"1,800",20.0,37,24,61,33,4,4,40,2,35.6,32.5,23.1,55.5,407,715,1.85,1.20,3.05,1.65,2.85,1.78,1.15,2.93,1.62,2.78,Ligue 1
Paris S-G,24,24.4,68.6,20,220,"1,800",20.0,52,39,91,48,4,4,24,0,51.8,48.7,41.5,90.1,576,1235,2.60,1.95,4.55,2.40,4.35,2.59,2.07,4.66,2.43,4.51,Ligue 1
Reims,28,25.5,45.9,20,220,"1,800",20.0,25,12,37,24,1,1,46,2,23.6,22.8,15.9,38.7,361,728,1.25,0.60,1.85,1.20,1.80,1.18,0.79,1.97,1.14,1.94,Ligue 1
Rennes,29,26.3,51.1,20,220,"1,800",20.0,27,14,41,23,4,5,43,1,24.2,20.8,13.2,34.0,367,859,1.35,0.70,2.05,1.15,1.85,1.21,0.66,1.87,1.04,1.70,Ligue 1
Saint-Étienne,30,26.4,44.6,20,220,"1,800",20.0,19,12,31,16,3,3,40,2,21.6,19.2,14.3,33.5,288,606,0.95,0.60,1.55,0.80,1.40,1.08,0.71,1.79,0.96,1.67,Ligue 1
Strasbourg,27,22.1,48.6,20,220,"1,800",20.0,32,24,56,30,2,2,46,0,28.7,27.2,21.9,49.0,314,647,1.60,1.20,2.80,1.50,2.70,1.44,1.09,2.53,1.36,2.45,Ligue 1
Toulouse,25,25.7,46.3,20,220,"1,800",20.0,19,15,34,17,2,3,30,1,28.3,25.9,20.5,46.4,342,760,0.95,0.75,1.70,0.85,1.60,1.42,1.02,2.44,1.30,2.32,Ligue 1
Alavés,25,27.1,43.5,22,242,"1,980",22.0,25,12,37,20,5,6,58,2,23.2,18.5,12.8,31.3,265,646,1.14,0.55,1.68,0.91,1.45,1.05,0.58,1.64,0.84,1.42,La Liga
Athletic Club,28,27.5,48.3,22,242,"1,980",22.0,33,26,59,32,1,3,41,3,31.0,28.6,22.4,51.1,418,936,1.50,1.18,2.68,1.45,2.64,1.41,1.02,2.43,1.30,2.32,La Liga
Atlético Madrid,24,29.1,53.0,22,242,"1,980",22.0,37,30,67,36,1,2,50,1,37.5,35.9,28.6,64.5,435,949,1.68,1.36,3.05,1.64,3.00,1.70,1.30,3.00,1.63,2.93,La Liga
