team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,league
West Ham,26,28.9,46.5,24,264,"2,160",24.0,28,16,44,25,3,3,57,3,31.9,29.6,22.1,51.7,392,768,1.17,0.67,1.83,1.04,1.71,1.33,0.92,2.25,1.23,2.15,Premier League
Wolves,26,27.4,46.5,24,264,"2,160",24.0,34,28,62,34,0,0,55,2,25.7,25.7,21.2,46.9,374,739,1.42,1.17,2.58,1.42,2.58,1.07,0.88,1.95,1.07,1.95,Premier League
Atalanta,30,27.4,56.3,23,253,"2,070",23.0,48,35,83,45,3,5,45,0,39.8,35.9,29.2,65.1,527,1122,2.09,1.52,3.61,1.96,3.48,1.73,1.27,3.00,1.56,2.83,Serie A
Bologna,28,26.9,56.7,22,242,"1,980",22.0,35,25,60,31,4,5,37,3,28.7,24.8,18.2,43.0,362,882,1.59,1.14,2.73,1.41,2.55,1.31,0.83,2.13,1.13,1.95,Serie A
Cagliari,25,27.3,46.6,23,253,"2,070",23.0,23,18,41,20,3,3,45,3,30.1,27.8,21.3,49.1,323,742,1.00,0.78,1.78,0.87,1.65,1.31,0.93,2.24,1.21,2.13,Serie A
Como,34,27.4,54.0,23,253,"2,070",23.0,23,20,43,23,0,2,52,4,26.7,25.2,21.4,46.6,399,786,1.00,0.87,1.87,1.00,1.87,1.16,0.93,2.09,1.10,2.03,Serie A
Empoli,29,25.9,40.8,23,253,"2,070",23.0,21,13,34,19,2,3,43,2,18.8,16.4,12.4,28.8,265,590,0.91,0.57,1.48,0.83,1.39,0.82,0.54,1.36,0.71,1.25,Serie A
Fiorentina,30,26.6,50.1,23,253,"2,070",23.0,39,26,65,34,5,6,46,2,30.7,26.0,21.2,47.1,408,804,1.70,1.13,2.83,1.48,2.61,1.33,0.92,2.25,1.13,2.05,Serie A
Genoa,33,27.1,44.6,23,253,"2,070",23.0,20,14,34,20,0,2,46,0,24.9,23.2,17.6,40.9,283,626,0.87,0.61,1.48,0.87,1.48,1.08,0.77,1.85,1.01,1.78,Serie A
Hellas Verona,29,25.8,38.9,23,253,"2,070",23.0,23,17,40,21,2,2,64,7,22.8,21.2,17.8,39.0,285,626,1.00,0.74,1.74,0.91,1.65,0.99,0.78,1.77,0.92,1.70,Serie A
Inter,24,29.9,60.0,23,253,"2,070",23.0,55,41,96,49,6,7,31,0,42.9,37.7,28.3,66.0,393,1073,2.39,1.78,4.17,2.13,3.91,1.86,1.23,3.09,1.64,2.87,Serie A
Juventus,27,25.2,58.8,23,253,"2,070",23.0,37,25,62,33,4,4,41,1,32.1,29.0,22.2,51.3,530,894,1.61,1.09,2.70,1.43,2.52,1.40,0.97,2.36,1.26,2.23,Serie A
Lazio,23,27.7,55.0,23,253,"2,070",23.0,39,28,67,35,4,5,57,4,34.8,31.1,22.5,53.6,465,972,1.70,1.22,2.91,1.52,2.74,1.51,0.98,2.49,1.35,2.33,Serie A
Lecce,27,26.6,44.7,23,253,"2,070",23.0,18,14,32,17,1,2,38,5,22.1,20.6,16.0,36.6,321,643,0.78,0.61,1.39,0.74,1.35,0.96,0.70,1.66,0.89,1.59,Serie A
Milan,29,26.3,53.6,22,242,"1,980",22.0,33,21,54,30,3,5,39,3,35.9,32.0,24.8,56.8,533,953,1.50,0.95,2.45,1.36,2.32,1.63,1.13,2.76,1.45,2.58,Serie A
Monza,31,27.5,48.7,23,253,"2,070",23.0,19,12,31,17,2,2,64,3,19.1,17.7,13.1,30.8,322,646,0.83,0.52,1.35,0.74,1.26,0.83,0.57,1.40,0.77,1.34,Serie A
Napoli,23,29.1,53.0,23,253,"2,070",23.0,36,27,63,32,4,5,27,0,32.2,28.4,24.2,52.5,453,971,1.57,1.17,2.74,1.39,2.57,1.40,1.05,2.45,1.23,2.28,Serie A
Parma,31,24.5,44.6,23,253,"2,070",23.0,28,19,47,23,5,6,45,4,28.8,24.1,18.3,42.4,398,688,1.22,0.83,2.04,1.00,1.83,1.25,0.80,2.05,1.05,1.84,Serie A
Roma,25,27.2,55.4,23,253,"2,070",23.0,33,19,52,27,6,6,45,1,32.7,28.0,21.0,49.0,423,906,1.43,0.83,2.26,1.17,2.00,1.42,0.91,2.33,1.22,2.13,Serie A
Torino,25,27.4,47.9,23,253,"2,070",23.0,23,15,38,22,1,2,51,2,21.2,19.6,13.4,33.0,321,702,1.00,0.65,1.65,0.96,1.61,0.92,0.58,1.50,0.85,1.43,Serie A
Udinese,28,27.1,46.5,23,253,"2,070",23.0,28,20,48,28,0,2,56,4,20.6,18.9,14.5,33.4,350,690,1.22,0.87,2.09,1.22,2.09,0.90,0.63,1.53,0.82,1.45,Serie A
Venezia,32,26.1,44.2,23,253,"2,070",23.0,22,12,34,19,3,4,43,1,21.5,18.4,13.1,31.5,308,643,0.96,0.52,1.48,0.83,1.35,0.93,0.57,1.50,0.80,1.37,Serie A
Augsburg,28,27.3,44.1,20,220,"1,800",20.0,24,16,40,23,1,2,54,2,20.5,19.0,13.6,32.6,250,686,1.20,0.80,2.00,1.15,1.95,1.03,0.68,1.71,0.95,1.63,Bundesliga
